"id","treatment","submission","measure","text","num_sentences","num_clusters","num_coherent_sentences","num_non_coherent_sentences","num_concepts","duration","local_cohesion","accuracyLocal","accuracyGlobal","cld_question1","cld_question2","cld_question4"
"au03ur59","cmap",2018-01-10 17:00:43,"revision","Teilchen bzw. Moleküle in einem Raum bewegen sich generell entlang eines Konzentrationsgefälles, also vom Ort hoher Konzentration zum Ort niedriger Konzentration. So lange, bis sich ein Gleichgewicht einstellt, also die Teilchen gleichmäßig über den zur Verfügung stehenden Raum verteilt sind. Das passiert in jedem Raum. Wenn man z.B. in einer Ecke eines Raumes Parfüm versprüht, dann breiten sich die Partikel über den ganzen Raum aus, bis es auch am gegenüberliegenden Ende zu riechen ist.  [LINEBREAK]Man nennt das auch ""Diffusion"". Diese basiert auf der Eigenbewegung von Molekülen, der sog. ""Brownschen Molekülbewegung"".  [LINEBREAK]Das gleiche passiert auch in Zellen, nur ist hier die umschließende Membran ein Hindernis für viele Teilchen, so dass Stoffausgleich von innen (Cytoplasma) nach außen und umgekehrt nicht ungehindert stattfinden kann.  [LINEBREAK]Doch die Membran ist semipermeabel, d.h. sie ist für manche Stoffe durchgänglich. Das sind vor allem kleine Moleküle, wie Wasser (H2O), aber auch Ionen, wie Ca+. Diese Stoffe können dann recht ungehindert die Membran passieren.  [LINEBREAK]Osmose ist nun ein spezieller Fall der Diffusion und zwar der  Konzentrationsausgleich eines Stoffes, der nicht durch die Membran diffundieren kann, mittels H20.  [LINEBREAK]Befindet sich im Cytosol eine höhere Konzentration z.B. eines Salzes als außerhalb der Zelle (hypotonisch), so diffundiert Wasser in die Zelle und ""verdünnt"" dieses Salz. Dann entspricht die Salzkonzentration wieder der an der Membranaußenseite, man spricht von einer isotonischen Umgebung. Das funktioniert natürlich auch in die andere Richtung: befindet sich innerhalb der Zelle weniger Salz als innerhalb (hypertonisch), so diffundiert Wasser nach außen und gleicht das Konzentrationsgefälle aus. [LINEBREAK]",15,3,5,9,33,772.126,0.357142857142857,81,80,7,2,90
"au03ur59","cmap",2018-01-10 17:00:43,"draft","Stoffe in einem Raum bewegen sich generell entlang eines Konzentrationsgefälles. D.h. vom Ort hoher Konzentration, bis zum Ort niedriger Konzentration. So lange, bis sich ein Gleichgewicht einstellt, also die Teilchen gleichmäßig über den zur Verfügung stehenden Raum verteilt sind. Das passiert in jedem Raum. Wenn man z.B. in einer Ecke eines Raumes Parfüm versprüht, dann breiten sich die Partikel über den ganzen Raum aus, bis es auch im gegenüberliegenden Ende zu riechen ist.  [LINEBREAK]Man spricht von ""Diffusion"". Diese basiert auf der Eigenbewegung von Molekülen, der sog. ""Brownschen Molekülbewegung"".  [LINEBREAK]Das gleiche passiert auch in Zellen, nur ist hier die umschließende Membran ein Hindernis für viele Teilchen, so dass Stoffausgleich von innen (Cytoplasma) nach außen und umgekehrt nicht so ungehindert stattfinden kann.  [LINEBREAK]Doch die Membran ist semipermeabel, d.h. sie ist für manche Stoffe durchgänglich. Das sind vor allem kleine Moleküle, wie H2O, aber auch Ionen. Diese Stoffe können dann recht ungehindert die Membran passieren.  [LINEBREAK] Osmose ist nun ein spezieller Fall der Diffusion und zwar der  Konzentrationsausgleich eines Stoffes, der nicht durch die Membran diffundieren kann, mittels H20.  [LINEBREAK]Befindet sich im Cytosol z.B. eine höhere Konzentration eines Salzes als außerhalb der Zelle (hypotonisch), so diffundiert Wasser in die Zelle und ""verdünnt"" dieses Salz. So entspricht die Salzkonzentration wieder der an der Membranaußenseite, man spricht von einer isotonischen Umgebung. Andersrum, befindet sich innerhalb der Zelle weniger Salz als innerhalb (hypertonisch), so diffundiert Wasser nach außen und gleicht das Konzentrationsgefälle aus. [LINEBREAK]",16,5,4,11,34,804.972,0.266666666666667,60,80,8,3,70
"au03ur59","cmap",2018-01-10 17:23:18,"transfer","Unter Evolution versteht man generell die Entwicklung der Arten über die Zeit.  [LINEBREAK]Es gab viele Theorien zu dem Thema, wie die Arten sich verändern, die Theorie die heute anerkannt ist, ist die Evolutionstheorie von Charles Darwin. [LINEBREAK]Seine Theorie basiert auf der Beobachtung bzw. Annahme, dass die Individuen innerhalb einer Population mehr Nachkommen produzieren als zum Erhalt der Art nötig ist und dass diese Individuen untereinander variabel sind, d.h. dass sie aufgrund unterschiedlichster genetischer Ausstattung, eine Vielfalt an Merkmalen aufweisen. Diese Variabilität kommt zustande durch zufällige Mutationen (Veränderung des Erbguts), sowie Rekombination (Verteilung der Chromosomen bei der Fortpflanzung). [LINEBREAK]Wir haben also diese Population, mit einem variablen Genpool (Gesamtheit der Gene einer Population). [LINEBREAK]Nun tritt  ein Selektionsfaktor auf, das ist ein Umwelteinfluss, der auf die Population einwirkt,  z.B. eine Klimaveränderung, Nahrungsmittelknappheit, Überschwemmung. Diejenigen Individuen haben einen Überlebensvorteil, die am besten an diese neue Umweltbedingung angepasst sind, pflanzen sich mit der höheren Wahrscheinlichkeit fort und können ihre Gene weitergeben. In der nächsten Generation treten dann vermehrt Individuen auf, die das Merkmal zeigen, mit dem sie am besten an die neuen Bedingungen angepasst sind. Man spricht von ""survival of the fittest"" oder auch natürlicher Selektion. [LINEBREAK]",9,3,4,4,35,925.981,0.5,40,69,8,2,60
"ba03ch69","control-group",2017-12-20 11:12:24,"revision","Unter Osmose versteht man eine Interaktion zweier Zellen oder auch zellulärer Räume untereinander. In diesem Fall sind die Zellen durch eine semipermeable Membran voneinander getrennt. Unter einer semipermeablen Membran versteht man eine Membran die zwei Bereiche räumlich voneinander trennt, jedoch die Diffusion von spezifischen Stoffen erlaubt. Hierbei kann es sich um Wasser handeln, aber auch um geladene Ionen wie beispielsweise Kalium- oder Natrium-Ionen. [LINEBREAK]Wenn jetzt auf einer Seite der Membran ein Mangel oder ein Überschuss eines Stoffes auftritt, entsteht ein Ladungsgradient. Somit verändert sich die Spannung die an der Membran anliegt. Durch das nun entstandene Ungleichgewicht beginnen Moleküle durch die Membran zu diffundieren, um das Gleichgewicht wieder herzustellen. Hierbei ist mit Gleichgewicht der Ausgangszustand gemeint, was nicht zwangsläufig bedeutet das in diesem Zustand keinerlei Spannung an der Membran anliegt. Bei dem diffundierenden Stoff muss es sich nicht zwangsweise um den gleichen Stoff handeln der das Ungleichgewicht verursacht hat, denn unter Umständen ist diesem keine Diffusion durch die semipermeable Membran möglich. Statt ihm kann ein anderer Stoff diffundieren der die selbe Ladung besitzt. Die Diffusion findet so lange statt, bis das Gleichgewicht wieder hergestellt ist, also der Ausgangszustand wieder vorhanden ist.  [LINEBREAK]",11,1,7,3,24,706.902,0.7,95,95,9,9,100
"ba03ch69","control-group",2017-12-20 11:33:50,"transfer","Unter Evolution versteht man in der Biologie die Entwicklung von Arten im zeitlichen Verlauf. Dies kann sich sowohl auf Tiere als auch auf Pflanzen beziehen, jedoch wird die Evolutions-Lehre meist im Bereich der Tierwelt angewendet. Im allgemeinen bezeichnet man dabei die Veränderung der Arten und ihre Anpassungen an ihre Umwelt. Betrachtet man die Evolution einer Art über Jahrtausende entstehen aus ihr viele verschiedene andere Tiere und Arten, die sich mit zunehmender Zeit sehr stark voneinander unterscheiden können. [LINEBREAK]Evolution kann durch verschiedene Faktoren beeinflusst werden. Mit der größte ist dabei wohl die Umgebung in der der Organismus lebt. Verändert sich die Umgebung, verändern sich die Voraussetzungen für optimales Überleben. Hierbei gilt immer das Prinzip ""survival of the fittest"", was bedeutet dass die Tiere größere Chancen haben zu überleben, deren Eigenschaften in der vorhandenen Umgebung am nützlichsten sind. Somit können durch einen Erdrutsch, eine Überflutung oder eine plötzliche Dürre auf einmal ganz andere Eigenschaften für das Überleben von nutzen sein als zuvor, was somit eine komplett neue Entwicklung der Art zur Folge haben kann. [LINEBREAK]",9,1,5,3,28,957.613,0.625,75,70,9,4,75
"ba03ch69","control-group",2017-12-20 11:12:24,"draft","Unter Osmose versteht man eine Interaktion zweier Zellen oder auch zellulärer Räume untereinander. In diesem Fall sind die Zellen durch eine semipermeable Membran voneinander getrennt. Unter einer semipermeablen Membran versteht man eine Membran die zwei Bereiche räumlich voneinander trennt, jedoch die Diffusion von spezifischen Stoffen erlaubt. Hierbei kann es sich um Wasser handeln, aber auch um geladene Ionen wie beispielsweise Kalium oder Natrium. Wenn jetzt auf einer Seite der Membran ein Mangel oder ein Überschuss eines Stoffes auftritt entsteht ein Ladungsgradient. Somit verändert sich die Spannung die an der Membran anliegt. Um das Ungleichgewicht wieder auszugleichen können nun Moleküle durch die Membran diffundieren um das Gleichgewicht wieder herzustellen. Dabei muss es sich nicht zwangsweise um den gleichen Stoff handeln der das Ungleichgewicht verursacht hat, denn unter Umständen ist diesem keine Diffusion durch die semipermeable Membran möglich. Statt ihm kann ein anderer Stoff diffundieren der die selbe Ladung besitzt. Die Diffusion findet so lange statt, bis das Gleichgewicht wieder hergestellt ist, also der Ausgangszustand wieder vorhanden ist.  [LINEBREAK]",10,1,6,3,24,904.305,0.666666666666667,70,90,9,7,85
"ba03is27","cmap",2018-06-04 15:46:01,"revision","Unter Osmose wird durch Diffusion von Stoffen oder Molekülen (Ionen) zwischen einer Zelle und ihrer Umgebung zum Stoffausgleich verstanden.  Diffusion ist die Wanderung von Stoffen oder Molekülen durch Zellmembranen. Der Stoffausgleich durch Diffusion wird durch einen Konzentrationsgradienten, das heißt dem Unterschied zwischen der Konzentration innerhalb und außerhalb der Zelle, hervorgerufen. Ziel ist in unserem System Körper ist es den Konzentrationsgradienten zu verringern, das heißt die Konzentrationen beider Seiten-innen und außen- auszugleichen. Zellen besitzen eine semipermeable Membran. Dies bedeutet, dass für bestimmte Moleküle z.B. kleine Moleküle  die Diffusion durch die Membran möglich ist, für große wiederum nicht. Die Richtung der Wanderung der Stoffe hängt von der jeweiligen Konzentration innerhalb oder außerhalb der Zelle zusammen. Ist die Konzentration innerhalb der Zelle höher als in der Umgebung, so spricht man von einer hypertonen Lösung. Die Moleküle wandern zum Ausgleich in diesem Fall nach außen. Ist die Konzentration innen niedriger als außen bezeichnet man die Lösung als hypoton. Das heißt, die Moleküle wandern nach innen. Sind die Konzentrationen der Stoffe innerhalb der Zelle und außerhalb gleich so bezeichnet man die Lösung als isoton. Anhand eines Salatblattes können  die genannten unterschiedlichen Formen der Osmose aufgezeigt werden. Ein Salatblatt enthält viel Wasser. Wird an ein Salatblatt Salz gegeben, will das System den Konzentrationsgradient von Salz und Wasser ausgleichen. Dazu wird das Wasser aus dem Salat gezogen- der Salat wird lätschig. Wir sprechen hier von einer hypotonen Lösung. [LINEBREAK]",17,1,7,9,28,976.025,0.4375,80,80,7,3,64
"ba03is27","cmap",2018-06-04 15:46:01,"draft","Unter Osmose wird die Wanderung von Stoffen oder Molekülen (Ionen) zwischen einer Zelle und ihrer Umgebung zum Stoffausgleich verstanden. Die Wanderung zwischen Zellmembranen wird als Diffusion bezeichnet. Der Stoffausgleich wird durch einen Konzentrationsgradienten hervorgerufen. Konzentrationsgradient bedeutet, dass es einen Unterschied zwischen der Konzentration innerhalb und außerhalb der Zelle gibt. Zellen besitzen eine semipermeable Membran, das heißt, für bestimmte Moleküle z.B. kleine Moleküle ist der Austausch bzw. das Durchkommen durch die Membran möglich, für große wiederum nicht. Die Richtung der Wanderung der Stoffe hängt von der jeweiligen Konzentration innerhalb oder außerhalb der Zelle zusammen.  Ist die Konzentration innerhalb der Zelle höher als in der Umgebung, so spricht man von einer hypertonen Lösung. Die Moleküle wandern in diesem Fall nach außen. Ist die Konzentration innen niedriger als außen bezeichnet man die Lösung als hypoton. Die Moleküle wandern nach innen. Sind die Konzentrationen der Stoffe innerhalb der Zelle und außerhalb gleich so spricht man von einer isotonen Lösung. Beispiele für diese Vorgänge im Körper ist die Blutbahn, die nur bestimmte Moleküle hinein oder hinauslassen. [LINEBREAK]",12,1,5,6,22,914.114,0.454545454545455,61,65,8,2,60
"ba03is27","cmap",2018-06-04 16:12:47,"transfer","Evolution ist die Weiterentwicklung einer Art, um sich an veränderte Bedingungen der Umwelt und Ressourcen anzupassen. Die Evolutionstheorie stammt von Charles Darwin. Er stellte fest, dass Finken je nach Gebiet unterschiedliche große, kleine, lange oder starke Schnäbel im Vergleich zu ihren Artgenossen aufweisen. Große Schnäbel, um Samen als Nahrung aufzunehmen oder feste Schnäbel, um Früchte aufzuknacken.  Er schloss daraus auf eine natürliche Selektion  für den jeweiligen Lebensraum und die Nahrungsressourcen. Der in diesem Lebensraum am besten angepasste Fink überlebt (Survial of the fittest), setzt sich vor den anderen Arten durch, kann sich vermehren und entwickelt seine Linie weiter. Um in seinem Gebiet keine Nahrungskonkurrenz aufzubauen ist die Variation der Finken notwendig.  [LINEBREAK]",7,2,3,3,23,910.292,0.5,51,49,8,1,41
"ba06ni84","integrated",2018-05-03 15:17:24,"transfer","Ein wichtiger Themenbereich der Biologie ist das Verständnis dafür, wie sich die Lebewesen der Erde entwickelt haben. Die Erklärung liefert die Theorie der Evolution. [LINEBREAK]Man geht davon aus, dass sich in einer Gruppe von Tieren immer nur diejenigen Tiere fortpflanzen können, die am besten an ihre Umgebung angepasst sind. Diese Tiere haben gegenüber den anderen Tieren einen Vorteil. Wenn zum Beispiel einem Tier im Wasser die Flossen fehlen, ist es an die Umgebung nicht gut angepasst und wird vermutlich bald gefressen werden, so dass es sich nicht fortpflanzen kann. Dadurch, dass jedes Tier andere Merkmale hat und kein Tier dem anderen gleicht, kommt es immer wieder zu Tieren, die für eine bestimmte Situation besser angepasst sind. Wenn es unter vielen Landtieren zum Beispiel eines gibt mit Flossen und aufgrund einer großen Flut das Land unter Wasser liegt, hat das bestimmte Tier mit den Flossen eine bessere Möglichkeit zu überleben und sich fortzupflanzen. Die Nachkommen des Flossentiers haben dann ebenso Flossen und damit den Überlebensvorteil. Wie ersichtlich wird, überleben also immer diejenigen Tiere, die am besten an ihre Umgebung angepasst sind. Diese Tiere können sich auch fortpflanzen und damit das Merkmal, dass zu der besseren Überlebenschance beiträgt an ihre Nachkommen weitergeben.  [LINEBREAK]",10,3,6,3,25,586.874,0.666666666666667,89,87,8,7,88
